Counties,year,Autos,Motorcycles,Trailers,Trucks,Total Vehicles
ALAMEDA,2008,932092,31389,71257,194392,1229130
CONTRA COSTA,2008,670519,25753,69542,150252,916066
FRESNO,2008,431144,20172,89969,171716,713001
HUMBOLDT,2008,76255,4737,25037,40559,146588
IMPERIAL,2008,88158,2012,19396,38116,147682
KERN,2008,374499,18810,99525,183624,676458
LOS ANGELES,2008,5859407,149987,336472,1152856,7498722
ORANGE,2008,1932075,59187,121915,413250,2526427
RIVERSIDE,2008,1103854,43888,164633,372871,1685246
SACRAMENTO,2008,795270,34086,111420,216226,1157002
SAN BERNARDINO,2008,1058040,44945,176915,360894,1640794
SAN DIEGO,2008,1899752,74240,180497,488794,2643283
SAN FRANCISCO,2008,379898,20144,8536,61755,470333
SANTA BARBARA,2008,246436,12149,31912,78906,369403
SANTA CLARA,2008,1194135,37677,67707,209331,1508850
SANTA CRUZ,2008,161056,10001,19572,51300,241929
SOLANO,2008,249490,12514,35771,73602,371377
VENTURA,2008,527670,24442,54640,146360,753112
ALAMEDA,2009,937076,31049,72373,188715,1229213
CONTRA COSTA,2009,673918,25323,70316,147637,917194
FRESNO,2009,433851,19566,91522,171597,716536
HUMBOLDT,2009,76243,4842,25834,40143,147062
IMPERIAL,2009,90287,2053,20479,38650,151469
KERN,2009,375115,18319,101712,183043,678189
LOS ANGELES,2009,5785091,146822,341142,1128495,7401550
ORANGE,2009,1923926,58482,123352,403502,2509262
RIVERSIDE,2009,1114406,42528,166449,366210,1689593
SACRAMENTO,2009,800516,33151,112986,213257,1159910
SAN BERNARDINO,2009,1055162,43037,178988,355249,1632436
SAN DIEGO,2009,1911703,73741,184391,483895,2653730
SAN FRANCISCO,2009,381737,20339,8654,59751,470481
SANTA BARBARA,2009,245447,12135,32472,77844,367898
SANTA CLARA,2009,1196538,37709,68645,204837,1507729
SANTA CRUZ,2009,161058,9724,19968,50972,241722
SOLANO,2009,250142,12279,36638,72475,371534
VENTURA,2009,528666,23992,55348,143068,751074
ALAMEDA,2010,952005,31421,70428,184257,1238111
CONTRA COSTA,2010,680242,25252,71245,144276,921015
FRESNO,2010,436656,19159,94035,170678,720528
HUMBOLDT,2010,76305,4930,27108,40354,148697
IMPERIAL,2010,92862,2191,21347,39382,155782
KERN,2010,377270,18239,103633,182300,681442
LOS ANGELES,2010,5810035,146703,343251,1110636,7410625
ORANGE,2010,1939359,58313,124324,398478,2520474
RIVERSIDE,2010,1134869,42851,167504,362726,1707950
SACRAMENTO,2010,801270,32610,114511,208950,1157341
SAN BERNARDINO,2010,1066756,42228,180026,350598,1639608
SAN DIEGO,2010,1931471,74818,187612,475678,2669579
SAN FRANCISCO,2010,382167,20728,8813,58641,470349
SANTA BARBARA,2010,245444,12238,33244,77210,368136
SANTA CLARA,2010,1208901,37904,69946,201244,1517995
SANTA CRUZ,2010,161918,9794,20508,50718,242938
SOLANO,2010,250033,12304,37290,70999,370626
VENTURA,2010,532150,23999,56380,141418,753947
ALAMEDA,2011,954158,31298,62258,177376,1225090
CONTRA COSTA,2011,682737,25466,64887,140422,913512
FRESNO,2011,437386,18918,92506,168205,717015
HUMBOLDT,2011,75058,5016,27041,39649,146764
IMPERIAL,2011,94778,2410,20798,39336,157322
KERN,2011,379581,18424,103298,181098,682401
LOS ANGELES,2011,5805760,150143,317743,1086927,7360573
ORANGE,2011,1948063,59563,124077,388252,2519955
RIVERSIDE,2011,1151450,43893,165028,351121,1711492
SACRAMENTO,2011,801612,32468,107296,200603,1141979
SAN BERNARDINO,2011,1074343,42153,173772,338309,1628577
SAN DIEGO,2011,1932452,78115,183928,459383,2653878
SAN FRANCISCO,2011,380621,21065,8355,56407,466448
SANTA BARBARA,2011,244837,12306,33247,75671,366061
SANTA CLARA,2011,1215418,38035,69052,194685,1517190
SANTA CRUZ,2011,161551,9777,20657,49544,241529
SOLANO,2011,249543,12316,34963,68605,365427
VENTURA,2011,532888,23997,55951,137457,750293
ALAMEDA,2012,974615,31583,56595,175467,1238260
CONTRA COSTA,2012,697279,25744,56886,139494,919403
FRESNO,2012,444768,18755,86860,168499,718882
HUMBOLDT,2012,74795,4961,24939,39887,144582
IMPERIAL,2012,97561,2569,20069,40001,160200
KERN,2012,388777,18697,97316,183382,688172
LOS ANGELES,2012,5904847,154108,283416,1079883,7422254
ORANGE,2012,1982791,61161,110758,384954,2539664
RIVERSIDE,2012,1184178,45490,147257,347862,1724787
SACRAMENTO,2012,814459,32597,95266,199890,1142212
SAN BERNARDINO,2012,1096412,42829,157683,332313,1629237
SAN DIEGO,2012,1971635,81178,164359,455292,2672464
SAN FRANCISCO,2012,385442,21697,7465,56694,471298
SANTA BARBARA,2012,248404,12362,30258,75633,366657
SANTA CLARA,2012,1237223,38539,60753,192836,1529351
SANTA CRUZ,2012,163687,9807,18485,49016,240995
SOLANO,2012,253989,12450,33254,68276,367969
VENTURA,2012,541043,24167,49520,136335,751065
ALAMEDA,2013,1010519,32618,58305,176958,1278400
CONTRA COSTA,2013,722220,26749,59709,141952,950630
FRESNO,2013,461132,18999,90682,171241,742054
HUMBOLDT,2013,76042,4999,26103,40440,147584
IMPERIAL,2013,102229,2722,21246,40223,166420
KERN,2013,400982,19078,101195,186929,708184
LOS ANGELES,2013,6079057,158402,291933,1080125,7609517
ORANGE,2013,2050972,63105,113885,389358,2617320
RIVERSIDE,2013,1236243,47562,153266,351251,1788322
SACRAMENTO,2013,844837,33072,99491,202256,1179656
SAN BERNARDINO,2013,1136591,43842,163150,334383,1677966
SAN DIEGO,2013,2040780,85072,170322,456571,2752745
SAN FRANCISCO,2013,397238,22610,8157,57466,485471
SANTA BARBARA,2013,257049,12821,31525,76887,378282
SANTA CLARA,2013,1278949,40026,62987,194011,1575973
SANTA CRUZ,2013,169395,10198,19269,50006,248868
SOLANO,2013,264108,12794,34942,68777,380621
VENTURA,2013,555451,24612,51327,136292,767682
ALAMEDA,2014,1044563,33470,59239,176297,1313569
CONTRA COSTA,2014,741024,26797,60951,142052,970824
FRESNO,2014,475004,18932,92637,170735,757308
HUMBOLDT,2014,77714,4972,26742,40425,149853
IMPERIAL,2014,106481,2742,21984,40318,171525
KERN,2014,413104,19267,104165,187373,723909
LOS ANGELES,2014,6197573,159464,295914,1066409,7719360
ORANGE,2014,2116173,63451,115333,420660,2715617
RIVERSIDE,2014,1279094,48381,157420,351311,1836206
SACRAMENTO,2014,870642,32704,102378,202301,1208025
SAN BERNARDINO,2014,1172703,44554,167732,335200,1720189
SAN DIEGO,2014,2093481,86896,174684,452957,2808018
SAN FRANCISCO,2014,403246,22853,8127,55688,489914
SANTA BARBARA,2014,263924,13101,32263,77107,386395
SANTA CLARA,2014,1311687,40044,64426,191892,1608049
SANTA CRUZ,2014,172940,10236,19781,49880,252837
SOLANO,2014,271387,12906,35933,68391,388617
VENTURA,2014,565405,24639,52118,134239,776401
ALAMEDA,2015,1082464,34267,60858,178753,1356342
CONTRA COSTA,2015,765068,27573,62380,144712,999733
FRESNO,2015,492048,19200,95440,173784,780472
HUMBOLDT,2015,79531,4999,27566,41336,153432
IMPERIAL,2015,113104,2932,23151,41485,180672
KERN,2015,424033,19420,106417,187694,737564
LOS ANGELES,2015,6293639,164152,305743,1075340,7838874
ORANGE,2015,2248999,64700,117730,400421,2831850
RIVERSIDE,2015,1329526,50420,162256,359997,1902199
SACRAMENTO,2015,918131,33242,105423,217897,1274693
SAN BERNARDINO,2015,1216312,46096,173064,340884,1776356
SAN DIEGO,2015,2152356,89111,179674,460115,2881256
SAN FRANCISCO,2015,407656,23342,8337,54768,494103
SANTA BARBARA,2015,269520,13384,32908,78114,393926
SANTA CLARA,2015,1349898,41219,65839,193802,1650758
SANTA CRUZ,2015,175930,10556,20323,50554,257363
SOLANO,2015,281622,13267,36918,69828,401635
VENTURA,2015,576281,25253,52990,135388,789912
ALAMEDA,2016,1065332,34185,57523,181484,1338524
CONTRA COSTA,2016,835183,27938,63320,151888,1078329
FRESNO,2016,511209,19127,94709,179820,804865
HUMBOLDT,2016,80805,5129,28088,42354,156376
IMPERIAL,2016,121565,3075,23139,43795,191574
KERN,2016,437455,19312,106117,189167,752051
LOS ANGELES,2016,6481351,165275,300306,1103918,8050850
ORANGE,2016,2303011,65762,118689,413661,2901123
RIVERSIDE,2016,1390232,51829,167125,375313,1984499
SACRAMENTO,2016,951840,33385,106171,221756,1313152
SAN BERNARDINO,2016,1266253,46883,176186,352320,1841642
SAN DIEGO,2016,2215741,90305,180931,473340,2960317
SAN FRANCISCO,2016,413147,23078,8531,55645,500401
SANTA BARBARA,2016,276471,13297,33552,80502,403822
SANTA CLARA,2016,1382217,41348,66106,197675,1687346
SANTA CRUZ,2016,180188,10771,20824,51923,263706
SOLANO,2016,291731,13393,37984,72621,415729
VENTURA,2016,590657,25214,53789,139898,809558